time,height,speed,acceleration
3.1,826.45109,282.46129,-47.83698
3.11,826.45109,282.03476,-44.55598
3.12,839.87038,281.57542,-42.91548
3.13,839.87038,281.11608,-42.91548
3.14,839.87038,280.68955,-46.19648
3.15,839.87038,280.23021,-47.83698
3.16,839.87038,279.80368,-42.91548
3.17,853.55215,279.34434,-41.24217
3.18,853.55215,278.91781,-42.91548
3.19,853.55215,278.49128,-44.55598
3.2,853.55215,278.06475,-46.19648
3.21,853.55215,277.63822,-41.24217
3.22,860.40944,277.21169,-39.60167
3.22,860.40944,277.21169,-39.60167
3.23,860.40944,276.78516,-37.96117
3.24,860.40944,276.39144,-42.91548
3.25,860.40944,275.96491,-41.24217
3.26,860.40944,275.57119,-42.91548
3.27,881.24379,275.14466,-42.91548
3.28,881.24379,274.71813,-42.91548
3.29,881.24379,274.2916,-39.60167
3.3,881.24379,273.86507,-42.91548
3.31,881.24379,273.47135,-39.60167
3.32,890.95555,273.04482,-42.91548
3.33,890.95555,272.6511,-41.24217
3.34,890.95555,272.22457,-42.91548
3.35,890.95555,271.79804,-37.96117
3.36,890.95555,271.40432,-41.24217
3.37,901.25789,270.97779,-42.91548
3.38,901.25789,270.58407,-41.24217
3.39,901.25789,270.15754,-42.91548
3.4,901.25789,269.76382,-36.28786
3.41,901.25789,269.33729,-42.91548
3.42,912.67577,268.91076,-42.91548
3.43,912.67577,268.45142,-49.51029
3.44,912.67577,268.02489,-44.55598
3.45,912.67577,267.56555,-44.55598
3.46,912.67577,267.13902,-42.91548
3.47,932.42739,266.71249,-42.91548
3.48,932.42739,266.28596,-41.24217
3.49,932.42739,265.85943,-41.24217
3.5,932.42739,265.46571,-39.60167
3.51,932.42739,265.03918,-41.24217
3.52,948.14338,264.64546,-34.64736
3.53,948.14338,264.25174,-44.55598
3.54,948.14338,263.82521,-41.24217
3.54,948.14338,263.82521,-41.24217
3.55,948.14338,263.39868,-42.91548
3.56,948.14338,263.00496,-44.55598
3.57,960.74242,262.57843,-39.60167
3.58,960.74242,262.1519,-41.24217
